"","id","n_accidents","All.usual.residents","Males","Females","children","adults","A Road","B Road","Motorway","Not Classified","Unclassified","Total_km","LSOA11CD"
"1","W01000001",27,1115,546,569,138,977,6.159,0,0,18.098,32.424,56.681,"W01000001"
"2","W01000002",21,1263,625,638,245,1018,6.441,0,0,11.642,10.73,28.813,"W01000002"
"3","W01000003",24,2507,1235,1272,511,1996,0.499,0.463,0,5.514,11.334,17.81,"W01000003"
"4","W01000004",47,1282,623,659,242,1040,5.076,4.413,0,17.706,15.956,43.151,"W01000004"
"5","W01000005",60,1938,933,1005,303,1635,1.37,5.388,0,7.592,14.299,28.649,"W01000005"
"6","W01000006",45,1534,776,758,268,1266,2.324,10.703,0,23.001,26.356,62.384,"W01000006"
"7","W01000007",58,1704,823,881,301,1403,8.637,5.432,0,21.412,32.958,68.439,"W01000007"
"8","W01000008",34,1519,718,801,293,1226,1.951,0,0,1.345,5.07,8.366,"W01000008"
"9","W01000009",42,1903,924,979,405,1498,10.235,0.998,0,14.88,24.995,51.108,"W01000009"
"10","W01000010",27,1869,893,976,295,1574,0.774,4.977,0,8.777,12.33,26.858,"W01000010"
"11","W01000011",57,1230,595,635,159,1071,2.358,0.641,0,1.397,4.291,8.687,"W01000011"
"12","W01000012",45,1484,684,800,275,1209,0.774,0.7,0,4.337,8.853,14.664,"W01000012"
"13","W01000013",47,2254,1082,1172,427,1827,6.67,3.926,0,17.854,27.044,55.494,"W01000013"
"14","W01000014",34,2049,987,1062,449,1600,0,5.472,0,4.942,7.962,18.376,"W01000014"
"15","W01000015",64,1588,769,819,277,1311,3.525,0,0,1.946,6.69,12.161,"W01000015"
"16","W01000016",24,1203,627,576,265,938,0.623,0,0,1.066,2.693,4.382,"W01000016"
"17","W01000017",34,1525,754,771,360,1165,2.656,1.121,0,0.912,5.049,9.738,"W01000017"
"18","W01000018",39,1357,672,685,245,1112,5.602,0,0,10.326,14.357,30.285,"W01000018"
"19","W01000019",35,1513,742,771,209,1304,3.61,0.085,0,23.534,14.263,41.492,"W01000019"
"20","W01000020",63,1315,647,668,221,1094,0.125,12.197,0,40.883,40.185,93.39,"W01000020"
"21","W01000021",53,2264,1159,1105,386,1878,3.874,3.071,0,32.971,57.063,96.979,"W01000021"
"22","W01000022",44,1648,835,813,333,1315,9.34,0,0,29.391,41.721,80.452,"W01000022"
"23","W01000023",39,1406,697,709,280,1126,7.632,3.292,0,13.002,19.418,43.344,"W01000023"
"24","W01000024",24,1519,814,705,449,1070,0.072,0,0,17.154,11.994,29.22,"W01000024"
"25","W01000025",113,2016,1011,1005,388,1628,12.63,8.016,0,15.421,29.723,65.79,"W01000025"
"26","W01000026",3,1229,579,650,167,1062,0,0.683,0,9.052,19.912,29.647,"W01000026"
"27","W01000027",62,1851,920,931,362,1489,8.628,0.485,0,27.008,27.09,63.211,"W01000027"
"28","W01000028",38,1941,983,958,408,1533,0,11.332,0,31.492,55.901,98.725,"W01000028"
"29","W01000029",47,1493,717,776,341,1152,1.305,0,0,0.731,4.114,6.15,"W01000029"
"30","W01000030",5,2286,1097,1189,547,1739,0,0,0,1.524,6.419,7.943,"W01000030"
"31","W01000031",22,1545,775,770,279,1266,2.288,0,0,25.868,45.453,73.609,"W01000031"
"32","W01000032",23,1064,506,558,184,880,6.342,0,0,21.868,15.567,43.777,"W01000032"
"33","W01000033",14,1504,756,748,346,1158,0.129,0,0,2.576,4.274,6.979,"W01000033"
"34","W01000034",9,1154,566,588,224,930,0,0,0,1.733,7.801,9.534,"W01000034"
"35","W01000035",49,1869,914,955,359,1510,3.542,2.855,0,28.498,35.09,69.985,"W01000035"
"36","W01000036",7,1088,541,547,240,848,0.056,0,0,0.831,2.52,3.407,"W01000036"
"37","W01000037",8,1178,627,551,231,947,0,0,0,1.15,3.095,4.245,"W01000037"
"38","W01000038",35,2226,1072,1154,429,1797,5.98,8.242,0,43.479,23.286,80.987,"W01000038"
"39","W01000039",19,1060,528,532,159,901,0,2,0,26.225,13.129,41.354,"W01000039"
"40","W01000040",60,1168,543,625,163,1005,2.551,1.94,0,22.598,20.964,48.053,"W01000040"
"41","W01000041",3,1583,767,816,454,1129,0,1.079,0,3.077,3.583,7.739,"W01000041"
"42","W01000042",33,2146,1056,1090,456,1690,1.224,1.544,0,2.335,8.926,14.029,"W01000042"
"43","W01000043",42,1217,577,640,262,955,0.91,1.636,0,4.44,4.552,11.538,"W01000043"
"44","W01000044",20,1144,579,565,206,938,2.51,0.124,0,2.915,6.968,12.517,"W01000044"
"45","W01000045",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","W01000046",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","W01000047",86,1354,647,707,281,1073,7.372,3.371,0,33.828,17.891,62.462,"W01000047"
"48","W01000048",54,1380,650,730,275,1105,6.414,0,0,14.359,10.775,31.548,"W01000048"
"49","W01000049",51,1142,587,555,207,935,1.436,0,0,0.508,3.724,5.668,"W01000049"
"50","W01000050",176,1398,696,702,312,1086,16.042,0,0,25.308,39.13,80.48,"W01000050"
"51","W01000051",34,1974,952,1022,389,1585,2.053,0.955,0,2.472,9.266,14.746,"W01000051"
"52","W01000052",2,1171,574,597,271,900,0,1.016,0,2.788,3.985,7.789,"W01000052"
"53","W01000053",105,1219,622,597,277,942,3.657,3.897,0,21.017,23.219,51.79,"W01000053"
"54","W01000054",59,1162,571,591,232,930,1.39,0,0,9.303,16.566,27.259,"W01000054"
"55","W01000055",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","W01000056",47,1878,956,922,415,1463,5.996,0,0,16.919,10.14,33.055,"W01000056"
"57","W01000057",137,1444,751,693,261,1183,27.365,3.035,0,199.979,86.904,317.283,"W01000057"
"58","W01000058",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","W01000059",75,2060,1025,1035,460,1600,0.561,0.56,0,0.942,5.874,7.937,"W01000059"
"60","W01000060",123,1345,675,670,270,1075,24.601,0,0,169.414,53.299,247.314,"W01000060"
"61","W01000061",30,1753,823,930,310,1443,2.754,0.96,0,4.819,9.539,18.072,"W01000061"
"62","W01000062",56,1839,946,893,155,1684,0.558,0.056,0,1.382,3.912,5.908,"W01000062"
"63","W01000063",27,1909,931,978,484,1425,0.336,0,0,17,22.067,39.403,"W01000063"
"64","W01000064",48,1849,916,933,467,1382,1.876,0,0,3.17,4.062,9.108,"W01000064"
"65","W01000065",16,1126,542,584,208,918,0.712,0,0,3.791,4.9,9.403,"W01000065"
"66","W01000066",99,1219,611,608,241,978,12.894,1.197,0,32.905,46.837,93.833,"W01000066"
"67","W01000067",135,1204,606,598,176,1028,8.747,0.304,0,23.475,14.875,47.401,"W01000067"
"68","W01000068",25,1484,684,800,311,1173,0.002,0,0,2.332,8.675,11.009,"W01000068"
"69","W01000069",43,1540,742,798,216,1324,6.983,0,0,34.72,19.947,61.65,"W01000069"
"70","W01000070",67,1275,652,623,246,1029,7.689,13.889,0,32.804,56.071,110.453,"W01000070"
"71","W01000071",9,2380,1192,1188,586,1794,0.021,0.065,0,1.93,8.126,10.142,"W01000071"
"72","W01000072",34,1777,837,940,352,1425,0.776,0,0,0.699,6.235,7.71,"W01000072"
"73","W01000073",69,1695,840,855,349,1346,6.105,0,0,28.819,25.405,60.329,"W01000073"
"74","W01000074",66,1997,991,1006,315,1682,12.956,6.135,0,34.171,26.356,79.618,"W01000074"
"75","W01000075",48,1496,741,755,275,1221,0.508,0,0,0.689,4.287,5.484,"W01000075"
"76","W01000076",35,1316,677,639,149,1167,0.543,0,0,1.07,4.056,5.669,"W01000076"
"77","W01000077",32,1387,677,710,174,1213,0.703,0,0,0.689,3.043,4.435,"W01000077"
"78","W01000078",35,1683,840,843,362,1321,5.047,8.746,0,29.607,27.952,71.352,"W01000078"
"79","W01000079",27,1098,541,557,177,921,3.709,0,0,35.655,37.05,76.414,"W01000079"
"80","W01000080",62,1785,875,910,257,1528,7.319,1.748,0,31.736,18.342,59.145,"W01000080"
"81","W01000081",56,2026,998,1028,363,1663,7.943,0,0,13.564,15.86,37.367,"W01000081"
"82","W01000082",142,1095,554,541,233,862,19.635,21.749,0,70.983,39.385,151.752,"W01000082"
"83","W01000083",125,1293,668,625,251,1042,20.589,13.904,0,182.82,88.368,305.681,"W01000083"
"84","W01000084",25,1206,604,602,221,985,0,3.646,0,25.877,41.719,71.242,"W01000084"
"85","W01000085",62,2007,1030,977,295,1712,22.119,0,0,62.386,58.498,143.003,"W01000085"
"86","W01000086",66,2253,1105,1148,489,1764,12.03,5.43,0,45.404,59.944,122.808,"W01000086"
"87","W01000087",19,1916,925,991,482,1434,1.318,0,0,3.215,5.947,10.48,"W01000087"
"88","W01000088",59,1994,976,1018,449,1545,2.336,0,0,18.304,28.719,49.359,"W01000088"
"89","W01000089",61,2080,1013,1067,470,1610,8.46,8.678,0,57.769,70.237,145.144,"W01000089"
"90","W01000090",6,1426,651,775,416,1010,0,0,0,0.538,3.378,3.916,"W01000090"
"91","W01000091",14,1140,572,568,272,868,0.451,0,0,0.338,2.413,3.202,"W01000091"
"92","W01000092",58,4128,2021,2107,149,3979,2.213,0,0,2.58,5.663,10.456,"W01000092"
"93","W01000093",71,2196,1047,1149,337,1859,2.302,1.998,0,4.454,7.065,15.819,"W01000093"
"94","W01000094",9,1229,602,627,227,1002,0,6.11,0,10.368,13.103,29.581,"W01000094"
"95","W01000095",19,1373,670,703,304,1069,1.602,2.184,0,6.14,8.411,18.337,"W01000095"
"96","W01000096",8,1245,603,642,292,953,0.324,0,0,0.246,3.841,4.411,"W01000096"
"97","W01000097",41,1110,535,575,203,907,1.361,0,0,0.627,3.554,5.542,"W01000097"
"98","W01000098",15,2321,1129,1192,700,1621,0.148,0,0,4.978,4.535,9.661,"W01000098"
